group,matchday,match_id,team_a,team_b,predicted_score,pick_principal,critical_alternative,tempting_option,quinigol_team,quinigol_minute,quinigol_range,halftime_fulltime,confidence,risk,robustness,research_status,missing_critical_data,notes
A,pending_verification,WG-A-01,Mexico,South Africa,1-0,1-0,2-0,2-0,Mexico anota gol recomendado,minuto 25,17-33,Mexico/Mexico,52.34,bajo,medio,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
I,pending_verification,WG-I-04,France,Iraq,2-0,2-0,1-0,none,France anota gol recomendado,minuto 15,7-23,France/France,55.38,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
I,pending_verification,WG-I-05,Norway,France,0-2,0-2,0-1,none,France anota gol recomendado,minuto 16,8-24,France/France,52.9,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
I,pending_verification,WG-I-06,Senegal,Iraq,1-0,1-0,2-0,2-0,Senegal anota gol recomendado,minuto 25,17-33,Senegal/Senegal,51.77,bajo,medio,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
J,pending_verification,WG-J-01,Argentina,Algeria,2-0,2-0,1-0,none,Argentina anota gol recomendado,minuto 16,8-24,Argentina/Argentina,52.98,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
J,pending_verification,WG-J-02,Austria,Jordan,1-0,1-0,none,2-0,Austria anota gol recomendado,minuto 28,20-36,Empate/Austria,47.67,bajo,medio,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
J,pending_verification,WG-J-03,Argentina,Austria,1-0,1-0,2-0,2-0,Argentina anota gol recomendado,minuto 25,17-33,Argentina/Argentina,51.65,bajo,medio,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
J,pending_verification,WG-J-04,Jordan,Algeria,0-1,0-1,1-1,0-2,Algeria anota gol recomendado,minuto 29,21-37,Empate/Algeria,45.58,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
J,pending_verification,WG-J-05,Algeria,Austria,1-2,1-2,0-0,none,Austria anota gol recomendado,minuto 27,19-35,Austria/Austria,34.65,medio,cauteloso,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
J,pending_verification,WG-J-06,Jordan,Argentina,0-2,0-2,0-1,none,Argentina anota gol recomendado,minuto 14,6-22,Argentina/Argentina,56.34,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
K,pending_verification,WG-K-01,Portugal,DR Congo,2-0,2-0,1-0,none,Portugal anota gol recomendado,minuto 16,8-24,Portugal/Portugal,52.88,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
K,pending_verification,WG-K-02,Uzbekistan,Colombia,0-1,0-1,none,0-2,Colombia anota gol recomendado,minuto 26,18-34,Empate/Colombia,49.38,bajo,medio,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
K,pending_verification,WG-K-03,Portugal,Uzbekistan,2-0,2-0,1-0,none,Portugal anota gol recomendado,minuto 16,8-24,Portugal/Portugal,53.15,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
K,pending_verification,WG-K-04,Colombia,DR Congo,1-0,1-0,none,2-0,Colombia anota gol recomendado,minuto 27,19-35,Empate/Colombia,48.55,bajo,medio,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
K,pending_verification,WG-K-05,Colombia,Portugal,0-1,0-1,1-1,1-2,Portugal anota gol recomendado,minuto 33,25-41,Empate/Portugal,38.38,bajo,medio,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
K,pending_verification,WG-K-06,DR Congo,Uzbekistan,1-0,1-0,0-1,2-1,DR Congo anota gol recomendado,minuto 36,28-44,Empate/DR Congo,34.16,medio,cauteloso,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
L,pending_verification,WG-L-01,Ghana,Panama,0-1,0-1,none,0-2,Panama anota gol recomendado,minuto 27,19-35,Empate/Panama,48.22,bajo,medio,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
L,pending_verification,WG-L-02,England,Croatia,1-0,1-0,1-1,2-1,England anota gol recomendado,minuto 33,25-41,Empate/England,38.06,bajo,medio,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
L,pending_verification,WG-L-03,England,Ghana,2-0,2-0,1-0,none,England anota gol recomendado,minuto 14,6-22,England/England,56.13,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
L,pending_verification,WG-L-04,Panama,Croatia,0-1,0-1,1-1,0-2,Croatia anota gol recomendado,minuto 28,20-36,Empate/Croatia,45.79,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
L,pending_verification,WG-L-05,Panama,England,0-1,0-1,none,0-2,England anota gol recomendado,minuto 26,18-34,Empate/England,50.36,bajo,medio,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
L,pending_verification,WG-L-06,Croatia,Ghana,2-0,2-0,1-0,none,Croatia anota gol recomendado,minuto 15,7-23,Croatia/Croatia,54.86,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
